year,bujiness_classify,doc_type,label_jpn,prefix,element,periodType,balance,abstract
2014,cai,bs,株主、役員又は従業員に対する短期債権,jppfs_cor,ShortTermClaimsOnShareholdersDirectorsOrEmployees,instant,debit,false
2014,cai,bs,貸倒引当金、株主、役員又は従業員に対する短期債権,jppfs_cor,AllowanceForDoubtfulAccountsShortTermClaimsOnShareholdersDirectorsOrEmployees,instant,debit,false
2014,cai,bs,株主、役員又は従業員に対する短期債権（純額）,jppfs_cor,ShortTermClaimsOnShareholdersDirectorsOrEmployeesNet,instant,debit,false
2014,cai,bs,短期貸付金,jppfs_cor,ShortTermLoansReceivable,instant,debit,false
2014,cai,bs,貸倒引当金、短期貸付金,jppfs_cor,AllowanceForDoubtfulAccountsShortTermLoans,instant,debit,false
2014,cai,bs,短期貸付金（純額）,jppfs_cor,ShortTermLoansReceivableNet,instant,debit,false
2014,cai,bs,関係会社短期貸付金,jppfs_cor,ShortTermLoansReceivableToSubsidiariesAndAffiliates,instant,debit,false
2014,cai,bs,貸倒引当金、関係会社短期貸付金,jppfs_cor,AllowanceForDoubtfulAccountsShortTermLoansReceivableFromSubsidiariesAndAffiliates,instant,debit,false
2014,cai,bs,関係会社短期貸付金（純額）,jppfs_cor,ShortTermLoansReceivableToSubsidiariesAndAffiliatesNet,instant,debit,false
2014,cai,bs,未収入金,jppfs_cor,AccountsReceivableOther,instant,debit,false
2014,cai,bs,関係会社未収入金,jppfs_cor,AccountsReceivableOtherFromSubsidiariesAndAffiliates,instant,debit,false
2014,cai,bs,未収消費税等,jppfs_cor,ConsumptionTaxesReceivable,instant,debit,false
2014,cai,bs,未収還付法人税等,jppfs_cor,IncomeTaxesReceivable,instant,debit,false
2014,cai,bs,営業外受取手形,jppfs_cor,NonOperatingNotesReceivable,instant,debit,false
2014,cai,bs,営業外電子記録債権、流動資産,jppfs_cor,ElectronicallyRecordedMonetaryClaimsNonOperatingCA,instant,debit,false
2014,cai,bs,1年内回収予定の長期貸付金,jppfs_cor,CurrentPortionOfLongTermLoansReceivable,instant,debit,false
2014,cai,bs,1年内回収予定の関係会社長期貸付金,jppfs_cor,CurrentPortionOfLongTermLoansReceivableFromSubsidiariesAndAffiliates,instant,debit,false
2014,cai,bs,1年内回収予定の差入保証金,jppfs_cor,CurrentPortionOfGuaranteeDeposits,instant,debit,false
2014,cai,bs,その他の未収入金,jppfs_cor,OtherAccountsReceivable,instant,debit,false
2014,cai,bs,関係会社預け金,jppfs_cor,DepositPaidInSubsidiariesAndAffiliates,instant,debit,false
2014,cai,bs,関係会社短期債権,jppfs_cor,ShortTermReceivablesFromSubsidiariesAndAffiliates,instant,debit,false
2014,cai,bs,金銭債権信託受益権,jppfs_cor,BeneficiaryRightOfAccountsReceivableInTrust,instant,debit,false
2014,cai,bs,差入保証金、流動資産,jppfs_cor,GuaranteeDepositsCA,instant,debit,false
2014,cai,bs,従業員に対する短期債権,jppfs_cor,ShortTermClaimsOnEmployees,instant,debit,false
2014,cai,bs,従業員に対する短期貸付金,jppfs_cor,ShortTermLoansToEmployees,instant,debit,false
2014,cai,bs,信託受益権、流動資産,jppfs_cor,TrustBeneficiaryRightCA,instant,debit,false
2014,cai,bs,立替金,jppfs_cor,AdvancesPaid,instant,debit,false
2014,cai,bs,仮払金,jppfs_cor,SuspensePayments,instant,debit,false
2014,cai,bs,預け金,jppfs_cor,DepositsPaid,instant,debit,false
2014,cai,bs,リース債権、流動資産,jppfs_cor,LeaseReceivablesCA,instant,debit,false
2014,cai,bs,貸倒引当金、リース債権、流動資産,jppfs_cor,AllowanceForDoubtfulAccountsLeaseReceivablesCA,instant,debit,false
2014,cai,bs,リース債権（純額）、流動資産,jppfs_cor,LeaseReceivablesNetCA,instant,debit,false
2014,cai,bs,リース投資資産、流動資産,jppfs_cor,LeaseInvestmentAssetsCA,instant,debit,false
2014,cai,bs,貸倒引当金、リース投資資産、流動資産,jppfs_cor,AllowanceForDoubtfulAccountsLeaseInvestmentAssetsCA,instant,debit,false
2014,cai,bs,リース投資資産（純額）、流動資産,jppfs_cor,LeaseInvestmentAssetsNetCA,instant,debit,false
